Id2,Total,Speak only English,Spanish or Spanish Creole,"French (incl. Patois, Cajun)",French Creole,Italian,Portuguese or Portuguese Creole,German,Yiddish,Other West Germanic Languages,Scandinavian Languages,Greek,Russian,Polish,Serbo-Croatian,Other Slavic Languages,Armenian,Persian,Gujarati,Hindi,Urdu,Other Indic Languages,Other Indo-European Languages,Chinese,Japanese,Korean,"Mon-Khmer, Cambodian",Hmong,Thai,Laotian,Vietnamese,Other Asian Languages,Tagalog,Other Pacific Island Languages,Navajo,Other Native North American Languages,Hungarian,Arabic,Hebrew,African Languages,Other and Unspecified Languages
36081000100,5862,3399,302,191,0,46,95,111,0,30,96,67,176,99,0,72,0,0,0,33,0,36,33,381,43,236,0,0,17,0,0,86,75,40,0,0,8,18,102,17,53
36081000200,3163,764,1521,20,0,0,7,31,0,0,0,0,0,112,0,0,0,0,0,38,31,125,7,374,0,0,0,0,0,0,78,0,15,0,0,0,0,40,0,0,0
36081000400,4287,1551,1816,30,0,0,4,7,9,0,0,41,0,24,0,0,0,0,0,26,0,166,0,537,0,9,0,0,0,0,51,0,0,0,0,0,0,16,0,0,0
36081000600,3355,1401,1431,11,16,0,0,0,0,0,10,0,10,38,5,5,0,0,0,0,0,267,0,49,0,0,0,0,0,0,9,47,56,0,0,0,0,0,0,0,0
36081000700,5354,3277,767,83,0,64,79,193,0,0,0,12,35,0,104,11,0,0,12,8,0,51,14,146,21,164,0,0,26,0,0,0,221,0,0,0,0,0,66,0,0
36081000800,3306,1277,1510,0,9,11,0,6,0,18,0,0,0,33,0,0,0,0,0,0,25,68,0,178,0,6,0,0,6,0,0,0,92,51,0,0,10,6,0,0,0
36081001000,3683,1094,1999,0,10,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,63,125,40,244,0,0,11,0,0,0,0,0,33,12,0,0,0,0,0,0,0
36081001200,4481,1305,2047,10,0,61,0,0,0,0,9,9,0,276,0,0,0,0,0,0,62,131,14,270,0,36,0,0,0,0,0,57,149,0,0,0,0,45,0,0,0
36081001400,3601,1378,1952,0,0,12,0,21,0,8,0,0,0,0,0,0,0,0,0,15,0,0,8,117,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
36081001600,2985,793,1650,0,0,46,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,35,0,110,0,0,0,0,0,0,0,0,178,0,0,0,0,151,0,0,0
36081001800,3209,1211,1600,24,0,5,0,5,0,0,0,0,8,0,0,6,0,0,18,0,11,129,17,122,0,12,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
36081001900,1581,745,304,47,0,0,5,34,5,0,0,18,17,0,0,55,0,0,0,0,5,5,0,177,93,33,0,0,22,0,0,11,5,0,0,0,0,0,0,0,0
36081002000,1796,441,811,0,0,4,0,24,0,0,0,6,0,4,0,0,5,0,0,5,98,62,13,219,0,0,0,0,0,0,0,6,41,0,0,0,0,57,0,0,0
36081002200,2060,692,1070,4,0,22,0,0,0,0,0,10,0,41,6,22,0,0,0,0,0,19,16,94,0,18,0,0,0,0,18,0,24,0,0,0,0,4,0,0,0
36081002400,2204,571,1025,35,16,0,0,0,0,76,0,16,1,6,0,0,0,0,0,0,49,149,33,189,0,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0
36081002500,6145,3486,2104,0,49,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,290,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
36081002600,2320,774,1235,0,0,6,0,0,1,0,0,0,0,51,0,0,0,0,3,7,19,11,29,111,0,0,0,0,0,0,0,57,16,0,0,0,0,0,0,0,0
36081002800,2749,1071,1282,0,0,24,0,11,12,0,0,0,31,45,0,0,0,0,20,34,0,116,0,0,0,0,0,0,0,0,24,0,11,0,0,0,0,0,0,68,0
36081003000,1424,580,634,0,0,38,0,0,0,0,0,0,0,5,0,33,0,0,0,7,0,5,11,34,0,0,0,0,0,0,0,0,44,0,0,0,0,33,0,0,0
36081003100,1050,303,567,8,0,32,27,0,0,0,0,6,0,0,15,0,0,0,0,0,0,31,21,32,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0
36081003200,1519,442,809,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,33,0,145,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
36081003300,2693,836,744,26,0,13,30,0,0,0,0,0,5,23,34,0,0,0,0,27,0,375,11,141,72,178,0,0,42,0,0,5,37,0,0,0,0,62,11,21,0
36081003400,2278,1004,941,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,42,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
36081003600,3412,1545,891,0,34,8,0,0,0,0,0,0,32,27,0,0,0,0,0,0,0,693,0,0,0,0,0,0,0,0,0,8,136,0,0,0,0,38,0,0,0
36081003700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081003800,2315,913,1051,0,33,9,0,5,0,0,0,0,0,44,0,0,0,0,0,22,0,86,0,95,0,0,0,0,0,0,0,31,26,0,0,0,0,0,0,0,0
36081003900,1533,473,773,10,0,23,30,0,0,0,0,7,26,6,6,0,0,0,0,10,0,85,6,15,0,5,0,0,0,0,5,5,48,0,0,0,0,0,0,0,0
36081004001,2100,674,891,4,25,36,36,0,0,0,0,0,0,95,0,27,0,9,0,1,87,82,28,84,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
36081004002,1477,570,428,0,0,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,337,0,24,0,0,0,0,0,0,0,0,18,34,0,0,0,19,0,0,0
36081004200,4337,1262,1529,0,0,111,0,0,0,0,0,13,0,41,0,0,0,0,0,0,17,1176,0,177,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
