ID,TOTAL,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66,HD01_VD67,HD01_VD68,HD01_VD69,HD01_VD70,HD01_VD71,HD01_VD72,HD01_VD73,HD01_VD74,HD01_VD75,HD01_VD76,HD01_VD77,HD01_VD78,HD01_VD79,HD01_VD80,HD01_VD81,HD01_VD82,HD01_VD83,HD01_VD84,HD01_VD85,HD01_VD86,HD01_VD87,HD01_VD88,HD01_VD89,HD01_VD90,HD01_VD91,HD01_VD92,HD01_VD93,HD01_VD94,HD01_VD95,HD01_VD96,HD01_VD97,HD01_VD98,HD01_VD99,HD01_VD100,HD01_VD101,HD01_VD102,HD01_VD103,HD01_VD104,HD01_VD105,HD01_VD106,HD01_VD107,HD01_VD108,HD01_VD109,HD01_VD110,HD01_VD111,HD01_VD112,HD01_VD113,HD01_VD114,HD01_VD115,HD01_VD116,HD01_VD117,HD01_VD118,HD01_VD119
36081000100,5862,3399,302,237,65,191,182,9,0,0,0,46,46,0,95,95,0,111,96,15,0,0,0,30,30,0,96,96,0,67,67,0,176,121,55,99,99,0,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,36,20,16,33,33,0,381,228,153,43,43,0,236,106,130,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,86,86,0,75,75,0,40,29,11,0,0,0,0,0,0,8,8,0,18,18,0,102,102,0,17,17,0,53,53,0
36081000200,3163,764,1521,845,676,20,20,0,0,0,0,0,0,0,7,7,0,31,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,54,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,5,31,11,20,125,74,51,7,7,0,374,150,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,15,63,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,6,0,0,0,0,0,0,0,0,0
36081000400,4287,1551,1816,961,855,30,30,0,0,0,0,0,0,0,4,0,4,7,7,0,9,9,0,0,0,0,0,0,0,41,8,33,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,166,83,83,0,0,0,537,133,404,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,51,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
36081000600,3355,1401,1431,739,692,11,11,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,10,0,38,24,14,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,199,68,0,0,0,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,47,39,8,56,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081000700,5354,3277,767,393,374,83,83,0,0,0,0,64,51,13,79,40,39,193,193,0,0,0,0,0,0,0,0,0,0,12,12,0,35,35,0,0,0,0,104,22,82,11,11,0,0,0,0,0,0,0,12,12,0,8,8,0,0,0,0,51,9,42,14,0,14,146,146,0,21,21,0,164,109,55,0,0,0,0,0,0,26,12,14,0,0,0,0,0,0,0,0,0,221,171,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0
36081000800,3306,1277,1510,904,606,0,0,0,9,9,0,11,0,11,0,0,0,6,0,6,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,33,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,68,40,28,0,0,0,178,73,105,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,92,76,16,51,30,21,0,0,0,0,0,0,10,0,10,6,6,0,0,0,0,0,0,0,0,0,0
36081001000,3683,1094,1999,1061,938,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,57,6,125,64,61,40,31,9,244,97,147,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081001200,4481,1305,2047,1555,492,10,10,0,0,0,0,61,37,24,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,9,0,0,0,276,108,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,51,11,131,68,63,14,0,14,270,39,231,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,0,149,119,30,0,0,0,0,0,0,0,0,0,0,0,0,45,16,29,0,0,0,0,0,0,0,0,0
36081001400,3601,1378,1952,1200,752,0,0,0,0,0,0,12,12,0,0,0,0,21,21,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,8,8,0,117,45,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081001600,2985,793,1650,775,875,0,0,0,0,0,0,46,0,46,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,27,0,0,0,110,28,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,135,43,0,0,0,0,0,0,0,0,0,0,0,0,151,58,93,0,0,0,0,0,0,0,0,0
