hid,id
ace,achi1257
sqi,gheg1238
arq,alge1239
adx,amdo1237
ase,amer1248
amh,amha1245
amu,guer1243
hye,nucl1235
ast,astu1245
ayc,sout2996
bhj,bahi1252
bam,bamb1269
bap,bant1281
bya,bata1301
bar,bava1246
ben,beng1280
bpy,bish1244
qul,nort2976
bos,bosn1245
NOCODE_Brazilian-Portuguese,braz1246
bre,bret1244
bug,bugi1244
bhh,bukh1238
mya,nucl1310
nap,neap1235
yue,yuec1235
hns,cari1275
ceb,cebu1242
chx,chan1310
cbk,chav1241
cnh,haka1240
cop,copt1239
NOCODE_Cretan,cret1243
hrv,croa1245
NOCODE_Cypriot-Greek,cypr1249
ces,czec1258
prs,dari1249
dre,dolp1239
nld,dutc1256
dzo,dzon1239
arz,egyp1253
fur,friu1240
glg,gali1258
deu,stan1295
ghe,sout2715
NOCODE_GOTTSCHEERISCH,NOCODE_GOTTSCHEERISCH
gug,para1311
guj,guja1252
gvr,guru1261
kgy,kyir1235
cnh,haka1240
heb,hebr1245
hin,hind1269
nan,minn1241
scp,hela1238
ibl,ibal1244
ibg,iban1267
ibo,nucl1417
ilo,ilok1237
ind,indo1316
yhd,jude1266
gle,iris1253
ist,istr1244
vec,vene1258
ixl,ixil1251
jpn,nucl1643
jav,java1254
ajp,sout3123
kac,kach1280
pam,pamp1243
ksw,sgaw1245
khg,kham1281
quc,kich1262
krj,kina1250
knn,konk1267
kor,kore1280
kgy,kyer1238
apc,nort3139
bod,tibe1272
lij,ligu1248
lif,limb1266
ylm,limi1243
lit,lith1251
lmo,lomb1257
mkd,mace1250
mad,nucl1460
mgp,east2352
mfp,maka1305
mal,mala1464
mlt,malt1254
mam,mamm1241
mqx,mamu1255
nmm,mana1288
cmn,mand1415
mnk,mand1436
mrw,mara1404
mar,mara1378
alq,algo1255
mau,huau1238
min,mina1268
mzl,maza1292
mxv,metl1238
rmn,balk1252
mnw,monn1252
khk,halh1238
muk,mugo1238
loy,lowa1242
azz,high1278
nap,neap1235
npi,nepa1254
new,newa1246
lld,ladi1250
kte,nubr1241
ory,oriy1255
ote,mezq1235
pag,pang1290
pbu,nort2646
trf,trin1276
pes,west2369
qwh,huay1240
pms,piem1238
pol,poli1260
pnt,pont1253
por,port1283
pan,panj1256
rmy,vlax1238
ron,roma1327
rus,russ1263
san,sans1269
sas,sasa1249
srp,serb1264
wuu,wuch1236
xsr,sher1255
jiv,shua1257
iii,sich1238
scn,sici1248
snd,sind1272
slk,slov1269
slv,slov1268
srn,sran1240
ell,mode1248
sun,sund1252
syc,clas1252
tgl,taga1270
yue,yuec1235
nan,minn1241
tgk,taji1245
taj,east2347
tam,tami1289
ctd,tedi1235
tel,telu1262
stp,sout2976
tha,thai1261
ths,thak1245
bod,tibe1272
tpl,tlac1237
tnt,tont1239
ola,walu1241
trc,copa1237
tsj,tsha1245
ttz,tsum1240
tur,nucl1301
ita,ital1282
tzo,tzot1259
uig,uigh1240
ukr,ukra1253
urd,urdu1245
uzn,nort2690
vie,viet1252
ruo,istr1245
ola,walu1241
war,wara1300
wuu,wuch1236
hsn,xian1251
yih,west2361
yua,yuca1254
zai,isth1244
swh,swah1253
hae,east2652
som,soma1255
tzm,cent2194
wol,nucl1347
yor,yoru1246
fuf,pula1262
aka,akan1250
hau,haus1257
xho,xhos1239
NOCODE_AAE,NOCODE_AAE
NOCODE_BART1238,bart1238
bhh,bukh1238
chx,chan1310
cnh,haka1240
cop,copt1239
ces,czec1258
arz,egyp1253
fra,stan1290
glg,gali1258
gan,ganc1239
gvr,guru1261
gyn,creo1235
tag,west2415
ibg,iban1267
jav,java1254
quc,kich1262
kab,kaby1243
ksw,sgaw1245
krj,kina1250
alq,algo1255
azz,high1278
npi,nepa1254
kte,nubr1241
pag,pang1290
pms,piem1239
por,port1283
NO_CODE_ROSH1238,rosh1238
sas,sasa1249
xsr,sher1255
scn,sici1248
snd,sind1272
nan,minn1241
ukr,ukra1253
