language,script
Abaza,абаза бызшва (abaza bəzš˚a)
Abenaki,Alnôba
Abkhaz,аҧсуа бызшәа (aṗsua byzš˚a)
Abui,Abui tanga
Achang,Ngachang
Acehnese,Bahsa Acèh;بهسا اچيه
Acheron,Acheron
Acholi,Lwo
Achuar-Shiwiar,Achuár chícham;Shiwiar
Adamaua Fulfulde,Fulfulde
Adyghe,адыгэбзэ (adəgăbză)
Adzera,Adzera
Afaan Oromo,Afaan Oromo;Oromiffa;ኦሮምኛ
Afar,ʿAfár af
Afrikaans,Afrikaans
Aghul,агъул чӀал (Ağul ç'al)
Aguacateco,Qa'yol
Aguaruna,Awajún
Ahom,Ahom
Ainu,アイヌ イタク / Aynu itak
Ajië,Waawilûû
Akan,akan
Akhvakh,Ашвaлъи мицIи (Ašval'i mic'i)
Akkadian,𒀝𒅗𒁺𒌑 (Akkadû)
Aklan,Inakeanon / Binisaya
Akurio,Akuriyó
Alabama,Albaamo innaaɬiilka
Albanian,shqip;gjuha shqipe
Aleut,Unangam tunuu
Algonquin,Anicinâbemowin
Alsatian,Ëlsässisch
Altay,Алтай тили (Altay tili)
Alur,Lur
Amahuaca,Amahuaca
Amarakaeri,Amarakaeri
Amarasi,Amarasi
Amele,Sona
Amharic,ኣማርኛ (amarəñña)
Amis,Pangcah
Andi,мицци (Micci)
Andoa,Andoa
Angami,Angami
Anuki,Anuki
Anutan,Te Taranga Pakaanuta
Apache,Ndéé
Apma,Apma
Arabela,Tapweyokwaka
Algerian Arabic,دزيري / جزائري;(dziri / jza'iri)
Jordanian Arabic,اللهجة الشامية‎‎
Arabic (Cypriot),Σάννα / Sánna
Egyptian Arabic,اللغة المصرية العامية;[elˈloɣæ l.mɑsˤˈɾejjɑ l.ʕæmˈmejjæ];- Egyptian colloquial language;اللهجة المصرية;Egyptian dialect - [elˈlæhɡæ l.mɑsˤˈɾejjɑ];مصري;Egyptian - [ˈmɑsˤɾi];اللغة المصرية الحديثة;[elˈloɣæ l.mɑsˤˈɾejjɑ l.ħæˈdiːsæ];- Modern Egyptian Language
Lebanese Arabic,اللبنانية;(el libnénïet)
Modern Standard Arabic,اللغة العربية الفصحى;(al-lughah al-ʻArabīyah al-fuṣḥá)
Moroccan Arabic,الدارجة;(eddarija)
Syrian Arabic,اللهجة العربيّة السورىّة;(el-lahjeẗ el-‛arabīyeẗ es-sūrīyé)
Tunisian Arabic,Tounsi / تونسي
Iraqi Judeo-Arabic,يهودية عراقية
Aragonese,Aragonés
Arakanese,ရခိုင်ဘာသာ
Araki,Araki
Aramaic (Ancient),לשנא ארמיא;(Ləšānā ’Aramāyā’)
Aramaic (Syriac),ܠܫܢܐ ܤܘܪܝܝܐ;(lešānā surjājā)
